menge;p_artikel-p_artikelnr;Lagerort;reservierteMenge;Lagerstandort;mengeFuerAuftraege
96;50147135;420;0;10004;0
330;13434956;420;0;10004;0
62;40255253;420;0;10004;0
34;32237169;420;0;10004;0
517;38272021;420;0;10004;0
3;68077841;420;0;10004;0
279;99190037;420;0;10004;0
31;94710441;420;0;10004;0
20;23224724;420;0;10004;0
89;27372724;420;0;10004;0
26;83786134;420;0;10004;0
6;71192928;420;0;10004;0
11;66740416;420;0;10004;0
200;26369945;420;0;10004;0
667;65172167;420;0;10004;0
55;87911259;410;0;10004;0
66;41657338;410;0;10004;0
43;55869057;420;0;10004;0
86;55869057;410;0;10004;0
60;92735139;420;0;10004;0
6;26517809;420;0;10004;0
3;94064329;420;0;10004;0
11;85478823;420;0;10004;0
319;82023112;420;0;10004;0
81;82023112;410;0;10004;0
50;73900718;420;0;10004;0
27;74724157;420;0;10004;0
51;17125822;420;0;10004;0
21;21945859;420;0;10004;0
72;33211400;420;0;10004;0
45;10882045;420;0;10004;0
48;91782136;420;0;10004;0
37;24741367;420;0;10004;0
301;68150248;420;0;10004;0
90;37541668;410;0;10004;0
70;55559604;410;0;10004;0
18;54945456;420;0;10004;0
50;54945456;410;0;10004;0
180;91591938;410;0;10004;0
90;49811269;410;0;10004;0
1;57921951;420;0;10004;0
130;57921951;410;0;10004;0
70;91631405;410;0;10004;0
85;98038845;410;0;10004;0
150;74974745;410;0;10004;0
66;17761015;420;0;10004;0
180;55670258;420;0;10004;0
32;68102058;420;0;10004;0
80;68102058;410;0;10004;0
137;94175837;410;0;10004;0
70;77235222;410;0;10004;0
55;53569235;410;0;10004;0
42;30670933;420;0;10004;0
45;64023110;420;0;10004;0
120;62417346;420;0;10004;0
41;26305041;420;0;10004;0
19;31616738;420;0;10004;0
57;13697927;420;0;10004;0
24;44414721;420;0;10004;0
12;53535319;420;0;10004;0
273;36638929;420;0;10004;0
144;50257850;420;0;10004;0
126;73207148;420;0;10004;0
420;65355106;420;0;10004;0
195;16868951;420;0;10004;0
474;66416750;420;0;10004;0
69;38806808;420;0;10004;0
431;41609026;420;0;10004;0
33;84379847;420;0;10004;0
10;81795826;420;0;10004;0
2;68065763;420;0;10004;0
30;86763666;420;0;10004;0
46;25674057;420;0;10004;0
41;33270936;420;0;10004;0
5;70484718;420;0;10004;0
129;33832929;420;0;10004;0
4;37133761;420;0;10004;0
2;29135563;420;0;10004;0
38;34822044;420;0;10004;0
27;54883541;420;0;10004;0
248;90094510;420;0;10004;0
192;12230023;420;0;10004;0
513;40714400;420;0;10004;0
304;76967920;420;0;10004;0
81;65276111;420;0;10004;0
51;96698858;420;0;10004;0
54;66631226;420;0;10004;0
17;11065350;420;0;10004;0
47;48828132;420;0;10004;0
132;52499966;420;0;10004;0
73;90846457;420;0;10004;0
120;96160106;420;0;10004;0
99;31171255;410;0;10004;0
200;73140963;410;0;10004;0
100;14864247;410;0;10004;0
28;44388613;420;0;10004;0
60;67221340;420;0;10004;0
333;36182527;420;0;10004;0
168;40110256;420;0;10004;0
91;49138622;420;0;10004;0
193;99420556;420;0;10004;0
210;34331665;420;0;10004;0
163;81479419;420;0;10004;0
15;85657553;420;0;10004;0
72;53577226;420;0;10004;0
28;63785759;420;0;10004;0
48;51719410;420;0;10004;0
1;21753648;420;0;10004;0
356;76841650;420;0;10004;0
50;41785926;420;0;10004;0
115;52596834;420;0;10004;0
39;61897321;420;0;10004;0
119;65706527;420;0;10004;0
368;97508023;420;0;10004;0
265;17855748;420;0;10004;0
232;45850112;420;0;10004;0
227;75962335;420;0;10004;0
25;42028523;420;0;10004;0
